Symbol,Company_Name,Country,Sector,Industry,F1,F2,F3,F4
BKS3RS,10x Genomics Inc Class A,United States,Health Care,Life Sciences Tools & Services,"5,365.9",0.1,0.0,#N/A
BFMV9Y,"360 DigiTech, Inc. ADR Class A",China,Financials,Consumer Finance,"2,147.2",1.1,3.8,103.1
B1YW44,3i Group plc,United Kingdom,Financials,Capital Markets,"14,320.7",0.9,3.5,16.1
259570,3M Company,United States,Industrials,Industrial Conglomerates,"84,749.9",0.2,4.0,6.8
BY9D3L,"3SBio, Inc.",China,Health Care,Biotechnology,"1,746.6",1.1,3.5,5.2
BFWK4M,"A-Living Smart City Services Co., Ltd. Class H",China,Real Estate,Real Estate Management & Development,"2,232.9",0.8,3.8,43.1
281602,A. O. Smith Corporation,United States,Industrials,Building Products,"9,012.5",0.2,1.9,9.6
425304,A.P. Moller - Maersk A/S Class B,Denmark,Industrials,Marine,"53,702.4",0.8,12.2,232.4
B85LKS,AAC Technologies Holdings Inc.,China,Information Technology,Electronic Equipment Instruments & Components,"2,544.0",1.3,1.2,-24.4
B9M3PK,AB Sagax Class B,Sweden,Real Estate,Real Estate Management & Development,"8,938.8",0.4,0.8,45.9
710889,ABB Ltd.,Switzerland,Industrials,Electrical Equipment,"59,994.8",0.2,2.8,56.5
200230,Abbott Laboratories,United States,Health Care,Health Care Equipment & Supplies,"197,401.2",0.2,1.7,45.1
B92SR7,"AbbVie, Inc.",United States,Health Care,Biotechnology,"269,360.6",0.1,3.7,19.7
B3BQB9,Abdullah Al Othaim Markets Co.,Saudi Arabia,Consumer Staples,Food & Staples Retailing,"2,711.2",0.1,3.5,5.2
200369,"ABIOMED, Inc.",United States,Health Care,Health Care Equipment & Supplies,"10,951.8",0.1,0.0,-19.0
BYQP13,ABN AMRO Bank NV Depositary receipts,Netherlands,Financials,Banks,"10,312.5",2.2,5.8,-39.3
606841,Aboitiz Equity Ventures Inc.,Philippines,Industrials,Industrial Conglomerates,"5,140.8",0.9,3.4,9.9
BF8Q6K,Abrdn plc,United Kingdom,Financials,Capital Markets,"4,873.1",2.0,7.8,#N/A
BFX05H,Absa Group Limited,South Africa,Financials,Banks,"8,946.8",0.9,4.6,-5.3
654546,Abu Dhabi Commercial Bank,United Arab Emirates,Financials,Banks,"18,259.8",0.7,3.7,-4.6
600172,Abu Dhabi Islamic Bank,United Arab Emirates,Financials,Banks,"7,811.7",0.5,3.8,-9.9
BYVGM6,Abu Dhabi National Oil Company for Distribution PJSC,United Arab Emirates,Consumer Discretionary,Specialty Retail,"13,919.0",0.1,5.0,6.4
BMBZPW,AC Energy Corp.,Philippines,Utilities,Independent Power and Renewable Electricity Producers,"5,290.0",0.3,0.9,#N/A
615591,ACC Limited,India,Materials,Construction Materials,"5,397.5",0.4,2.6,3.9
B4BNMY,Accenture Plc Class A,Ireland,Information Technology,IT Services,"173,653.2",0.1,1.4,12.4
585284,Accor SA,France,Consumer Discretionary,Hotels Restaurants & Leisure,"8,316.0",0.4,0.0,-65.1
600521,Accton Technology Corp.,Taiwan,Information Technology,Communications Equipment,"4,232.2",0.1,2.6,17.5
600585,Acer Incorporated,Taiwan,Information Technology,Technology Hardware Storage & Peripherals,"2,882.2",0.7,7.9,88.3
B01FLQ,Actividades de Construccion y Servicios SA,Spain,Industrials,Construction & Engineering,"7,850.8",0.9,6.3,4.9
257581,"Activision Blizzard, Inc.",United States,Communication Services,Entertainment,"60,924.2",0.3,0.6,20.9
B01VRK,Adani Enterprises Limited,India,Industrials,Trading Companies & Distributors,"29,911.0",0.1,0.0,-7.7
BD6H7M,Adani Green Energy Limited,India,Utilities,Independent Power and Renewable Electricity Producers,"46,615.2",0.0,0.0,#N/A
B28XXH,Adani Ports & Special Economic Zone Limited,India,Industrials,Transportation Infrastructure,"19,914.2",0.2,0.7,7.2
BGJW2K,Adani Total Gas Ltd.,India,Utilities,Gas Utilities,"33,606.0",0.0,0.0,29.1
BYPCLL,Adani Transmission Ltd,India,Utilities,Electric Utilities,"32,079.3",0.0,0.0,32.5
711072,Adecco Group AG,Switzerland,Industrials,Professional Services,"6,144.2",0.7,6.9,13.3
BJ0DP4,Adevinta ASA,Norway,Communication Services,Interactive Media & Services,"7,687.1",1.5,0.0,#N/A
403197,adidas AG,Germany,Consumer Discretionary,Textiles Apparel & Luxury Goods,"34,872.6",0.2,1.9,2.8
B02J63,Admiral Group plc,United Kingdom,Financials,Insurance,"8,042.6",0.2,12.5,19.8
200815,"Adobe, Inc.",United States,Information Technology,Software,"187,998.3",0.1,0.0,34.1
282201,"Advance Auto Parts, Inc.",United States,Consumer Discretionary,Specialty Retail,"11,943.3",0.2,3.1,21.8
641256,"Advanced Info Service Public Co., Ltd.",Thailand,Communication Services,Wireless Telecommunication Services,"18,671.1",0.1,3.5,-3.2
200784,"Advanced Micro Devices, Inc.",United States,Information Technology,Semiconductors & Semiconductor Equipment,"156,022.5",0.3,0.0,202.4
B1P6WF,Advanced Petrochemical Co.,Saudi Arabia,Materials,Chemicals,"4,297.4",0.2,3.6,2.6
620267,"Advantech Co., Ltd.",Taiwan,Information Technology,Technology Hardware Storage & Peripherals,"9,496.2",0.1,2.2,11.3
687049,Advantest Corp.,Japan,Information Technology,Semiconductors & Semiconductor Equipment,"13,486.1",0.2,1.4,21.4
BZ1HM4,Adyen NV,Netherlands,Information Technology,IT Services,"47,547.0",0.0,0.0,47.1
592737,Aegon NV,Netherlands,Financials,Insurance,"10,615.3",2.5,3.4,32.4
BVRZ8L,Aena SME SA,Spain,Industrials,Transportation Infrastructure,"21,261.1",0.3,0.0,-60.2
648004,"AEON Co., Ltd.",Japan,Consumer Staples,Food & Staples Retailing,"15,796.6",0.5,1.5,-35.3
B1HHKD,AerCap Holdings NV,Ireland,Industrials,Trading Companies & Distributors,"11,307.8",1.4,0.0,2.6
B164FY,Aeroports de Paris SA,France,Industrials,Transportation Infrastructure,"14,356.8",0.3,0.0,#N/A
200247,AES Corporation,United States,Utilities,Independent Power and Renewable Electricity Producers,"13,510.8",0.2,3.1,#N/A
BMF9NM,"Affirm Holdings, Inc. Class A",United States,Information Technology,IT Services,"6,942.0",0.4,0.0,#N/A
202636,Aflac Incorporated,United States,Financials,Insurance,"36,279.3",0.8,2.8,24.7
604112,African Rainbow Minerals Limited,South Africa,Materials,Metals & Mining,"3,405.1",0.8,13.2,46.5
605520,AGC Inc.,Japan,Industrials,Building Products,"8,516.0",1.3,4.4,11.4
B86S2N,ageas SA/NV,Belgium,Financials,Insurance,"8,856.5",1.5,4.3,0.2
B0PR2F,Agile Group Holdings Limited,China,Real Estate,Real Estate Management & Development,"1,657.2",5.1,14.9,3.2
252015,"Agilent Technologies, Inc.",United States,Health Care,Life Sciences Tools & Services,"36,250.7",0.1,0.7,2.3
689030,Agility Public Warehousing Co. K.S.C.,Kuwait,Industrials,Air Freight & Logistics,"8,227.3",0.8,1.7,18.5
BYYHJL,AGNC Investment Corp.,United States,Financials,Mortgage Real Estate Investment Trusts (REITs),"6,222.7",1.2,12.1,79.8
200982,Agnico Eagle Mines Limited,Canada,Materials,Metals & Mining,"23,313.4",0.7,3.1,#N/A
B60LZR,Agricultural Bank of China Limited Class H,China,Financials,Banks,"153,898.4",2.2,8.2,8.2
B4TX8S,AIA Group Limited,Hong Kong,Financials,Insurance,"119,105.5",0.5,1.9,24.1
BSDHYK,Air Canada,Canada,Industrials,Airlines,"5,876.0",-0.2,0.0,#N/A
B04KNF,Air China Limited Class H,China,Industrials,Airlines,"15,374.5",0.6,0.0,#N/A
B1YXBJ,Air Liquide SA,France,Materials,Chemicals,"80,346.1",0.3,1.8,8.6
201160,"Air Products and Chemicals, Inc.",United States,Materials,Chemicals,"51,999.2",0.3,2.8,7.0
BMGYYH,"Airbnb, Inc. Class A",United States,Consumer Discretionary,Hotels Restaurants & Leisure,"68,757.1",0.1,0.0,#N/A
401225,Airbus SE,Netherlands,Industrials,Aerospace & Defense,"88,569.8",0.1,1.4,21.4
BDFLHW,Airports of Thailand Public Co. Ltd.,Thailand,Industrials,Transportation Infrastructure,"28,112.5",0.1,0.0,#N/A
