Symbol	Name_1	Name_2	Currency	Type	Exchange	Employees
BKS3RS	10x Genomics Inc Class A	10X Genomics A	USD	SHARE	NAS	"1,239.0"
BFMV9Y	"360 DigiTech, Inc. ADR Class A"	360 DigiTech ADR	USD	ADR	NAS	"2,129.0"
B1YW44	3i Group plc	3i Group Plc	GBP	SHARE	LON	234.0
259570	3M Company	3M Co	USD	SHARE	NYS	"95,000.0"
BY9D3L	"3SBio, Inc."	3SBio	HKD	SHARE	HKG	"5,292.0"
BFWK4M	"A-Living Smart City Services Co., Ltd. Class H"	A-Living Smart City Svs H	HKD	SHARE	HKG	"87,603.0"
281602	A. O. Smith Corporation	A. O. Smith	USD	SHARE	NYS	"13,700.0"
425304	A.P. Moller - Maersk A/S Class B	A.P. Moller - Maersk B	DKK	SHARE	CSE	#N/A
B85LKS	AAC Technologies Holdings Inc.	AAC Technologies Holdings	HKD	SHARE	HKG	"37,591.0"
B9M3PK	AB Sagax Class B	Sagax B	SEK	SHARE	OME	87.0
710889	ABB Ltd.	ABB	CHF	SHARE	SWX	"105,000.0"
200230	Abbott Laboratories	Abbott Laboratories	USD	SHARE	NYS	"113,000.0"
B92SR7	"AbbVie, Inc."	AbbVie	USD	SHARE	NYS	"50,000.0"
B3BQB9	Abdullah Al Othaim Markets Co.	Abdullah Al Othaim Mkts	SAR	SHARE	SAU	#N/A
200369	"ABIOMED, Inc."	ABIOMED	USD	SHARE	NAS	"1,725.0"
BYQP13	ABN AMRO Bank NV Depositary receipts	ABN AMRO DR	EUR	DR	AMS	"19,957.0"
606841	Aboitiz Equity Ventures Inc.	Aboitiz Equity Ventures	PHP	SHARE	PHS	"12,679.0"
BF8Q6K	Abrdn plc	Abrdn	GBP	SHARE	LON	#N/A
BFX05H	Absa Group Limited	Absa Group Ltd	ZAR	SHARE	JSE	"35,267.0"
654546	Abu Dhabi Commercial Bank	ADCB	AED	SHARE	ADS	#N/A
600172	Abu Dhabi Islamic Bank	Abu Dhabi Islamic Bank	AED	SHARE	ADS	#N/A
BYVGM6	Abu Dhabi National Oil Company for Distribution PJSC	Abu Dhabi National Oil Co	AED	SHARE	ADS	#N/A
BMBZPW	AC Energy Corp.	AC Energy	PHP	SHARE	PHS	207.0
615591	ACC Limited	ACC	INR	SHARE	BOM	"13,022.0"
B4BNMY	Accenture Plc Class A	Accenture A	USD	SHARE	NYS	"624,000.0"
585284	Accor SA	Accor	EUR	SHARE	PAR	"14,466.0"
600521	Accton Technology Corp.	Accton Technology	TWD	SHARE	TAI	#N/A
600585	Acer Incorporated	Acer	TWD	SHARE	TAI	#N/A
B01FLQ	Actividades de Construccion y Servicios SA	Actividades de Construccion y Servicios	EUR	SHARE	MCE	"122,502.0"
