Symbol,05/20/2022,05/13/2022,05/06/2022,04/29/2022
BKS3RS,5.311775,-6.954479,7.18174,-11.391473
BFMV9Y,5.079603,0.5335331,-9.078312,3.2188892
B1YW44,-4.8748913,2.8164387,-6.4023137,-4.3325243
259570,-2.665776,-0.15380979,3.6818743,-3.3183575
BY9D3L,3.837347,5.3613067,-5.9896827,-0.19002557
BFWK4M,4.0596128,0.84632635,-6.1042843,4.6637893
281602,-3.732705,1.0269284,1.6601086,-9.314179
425304,-7.875639,1.9100904,6.7165613,
B85LKS,7.6459527,-2.286142,-10.095882,12.10978
B9M3PK,12.02805,9.152258,-14.201027,-2.9693663
710889,1.9941211,-1.1922419,-4.5481205,-4.104847
200230,3.0578852,-2.1287978,-1.0837018,-5.132061
B92SR7,-1.6221523,0.43839216,4.0509224,-5.2325964
B3BQB9,-0.87984204,1.9623637,-0.010663271,
200369,-7.243472,-1.3124168,-10.13329,-3.126794
BYQP13,-9.698319,1.1898756,-5.996728,0.9752631
606841,2.6067972,-6.8730297,-0.7536948,-10.806304
BF8Q6K,-0.030779839,2.7865648,-5.303067,-4.2616663
BFX05H,0.6911397,4.1272163,-8.51708,2.16192
654546,6.6666603,-9.5330715,0.9823084,-0.9727597
600172,5.7742834,-13.60544,0.45558214,-0.9029329
BYVGM6,1.9851089,-2.4213076,0,1.7241478
BMBZPW,13.854289,-17.975533,4.676664,-11.7657
615591,5.808985,-6.45321,-4.4267297,3.1744242
B4BNMY,-3.5289586,-3.0330718,-1.5381515,-3.3590734
585284,1.0764956,-1.1693001,-2.9595554,2.2819996
600521,-6.3266096,3.30168,-3.680724,4.4085264
600585,-1.594913,-0.09032488,1.6412735,-1.8119514
B01FLQ,6.252575,-1.4161646,-1.19192,-1.9777477
257581,-0.43734908,-0.12846589,2.9629588,-3.8290322
B01VRK,8.051133,-9.133923,-4.322958,2.6531577
BD6H7M,4.477775,-24.8995,-1.1479735,0.019133091
B28XXH,8.693373,-13.472319,-5.945343,-1.9072652
BGJW2K,0.16219616,-3.1151414,-0.89728236,1.1505127
BYPCLL,4.199183,-21.941353,-0.12153983,5.7796955
711072,2.3116589,-1.7065108,-7.651472,-4.0109277
BJ0DP4,5.409837,0.8289099,-17.738968,1.8023252
403197,-3.0072868,-0.21060705,-6.083041,-4.943359
B02J63,-1.3849735,-5.1186857,-3.9907157,-2.431947
200815,-1.5686333,3.6929965,-1.2476325,-3.1125367
282201,-13.881922,4.116142,1.6179919,-8.590132
641256,2.926588,2.0430446,-3.5093665,-2.2472143
200784,-1.7031133,-0.23074746,11.482692,-2.9725492
B1P6WF,-3.0258477,-3.8799345,-4.6976686,
620267,7.7877045,-1.458627,-7.8192177,-2.4605393
687049,2.8333426,0.21078587,-3.7789106,3.46272
BZ1HM4,0.35444498,2.805543,-12.378216,-3.2537699
592737,-1.4975309,1.6633034,-3.7840426,-8.801746
BVRZ8L,3.7503362,-1.9286811,-2.0008743,-10.351819
648004,-3.540963,-2.5039852,0.69161654,-1.0039091
B1HHKD,4.721415,-3.3938587,-0.9633899,-8.9651165
B164FY,6.847453,-3.112936,-1.7546713,-6.1145782
200247,1.4328122,-3.3428907,2.546525,-8.501554
BMF9NM,4.6815753,-4.969949,-13.066202,-7.8947363
202636,-1.4036953,-3.3487916,1.6585231,-9.610224
604112,2.506113,-3.3910573,-7.250583,6.6043854
605520,-1.2063622,0.18275976,1.2895942,-2.246201
B86S2N,1.0416269,-1.8481195,-3.7931085,-7.46243
B0PR2F,2.5033832,-6.6690445,-9.252733,2.4154305
252015,4.816556,-1.4040351,1.51757,-1.68975
689030,3.2536507,-13.001692,0.81642866,0.8344412
BYYHJL,-5.0847473,-0.16115904,13.023686,-4.227787
200982,6.629932,-11.938572,-1.907897,-1.9327283
B60LZR,2.432692,-1.0264158,-1.0595381,-1.0134339
B4TX8S,10.395813,-1.0160387,-4.867405,-0.6491065
BSDHYK,2.0025492,-6.492758,-3.4439445,-7.3134184
B04KNF,7.1626425,-0.61104894,-7.893318,-1.1191368
B1YXBJ,1.9607186,-0.81620216,-2.4248838,1.0438561
201160,1.6601682,-0.89474916,0.7476449,-3.643173
BMGYYH,-7.3281107,-10.593343,-11.337387,-1.8450856
